customer_id,first_name,last_name,street,city,state,zip,closest_store_id,closest_store_distance,latitude,longitude,closest_station,closest_station_distance,blue_betweenness,blue_closeness_centrality,blue_degree_centrality,blue_harmonic,blue_wasserman,gray_betweenness,gray_closeness_centrality,gray_degree_centrality,gray_harmonic,gray_wasserman,green_betweenness,green_closeness_centrality,green_degree_centrality,green_harmonic,green_wasserman,orange_betweenness,orange_closeness_centrality,orange_degree_centrality,orange_harmonic,orange_wasserman,red_betweenness,red_closeness_centrality,red_degree_centrality,red_harmonic,red_wasserman,yellow_betweenness,yellow_closeness_centrality,yellow_degree_centrality,yellow_harmonic,yellow_wasserman
1,Robb,Weaving,5 Ramsey Place,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
2,Robby,Belliard,6 Londonderry Plaza,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
3,Sadella,Caudrelier,548 Mcguire Parkway,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
4,Holmes,Shimmings,99 Kennedy Court,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
5,Beverley,Gubbin,51 Mcbride Drive,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
6,Pavia,Millery,463 Columbus Pass,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
7,Engracia,Jeanon,24 Hanover Court,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
8,Melinda,Stodd,568 Nova Way,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
9,Dinnie,Leek,38 Golf Alley,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
10,Caitrin,Filipowicz,61 Michigan Drive,Oakland,CA,94609,1,1,37.8343,-122.2643,MacArthur,0.45,,,,,,,,,,,,,,,,5584.833333333334,0.11976487876561352,5.0,0.14059741042963905,0.09165105745913148,3596.3333333333335,0.1196769456681351,5.0,0.14032698445498776,0.0915837659338311,6535.833333333333,0.12038404726735598,5.0,0.1407664901761836,0.09212488124215505
